ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
jqc,Li7BiO6,1,Li7.0Bi1.0O6.0,1.58489e-06,,,P -1,2,5.5071,6.0425,5.5231,116.912,120.867,62.234,hexaoxometalates,10.1002/zaac.200500231,1,D2 - 3,done,155950-ICSD,,partial occupancy not correct,,,155950.0,3.0,
oi6,Li7SbO6,1,Li7.0Sb1.0O6.0,6.7e-08,,,P -1,2,5.4307,5.8916,5.385,116.748,119.63,62.779,hexaoxometalates,10.1021/ic030208w,1,D2 - 3,done,413370-ICSD,,partial occupancy not correct,,,413370.0,3.0,
2t8,LiV(PO4)F,2,Li2.0V2.0P2.0O8.0F2.0,8.1e-07,,,P -1,2,5.3115,7.2617,5.1744,107.934,98.444,107.547,Tavorite,10.1016/j.ssi.2013.04.002,1,D2 - 6,done,,,appendix: diffraction data available,,,,6.0,
ro9,Li3BP2O8,2,Li6.0B2.0P4.0O16.0,9.6e-12,,,P -1,2,5.1888,7.4118,7.6735,101.179,105.067,90.335,Borophosphates,10.1039/C3DT52917G,1,D2 - 7,done,248343-ICSD,,,,,248343.0,7.0,
7cr,Li2NaBP2O8,2,Li4.0Na2.0B2.0P4.0O16.0,4.4e-18,,,P -1,2,5.4344,7.3793,7.984,103.243,109.27,87.391,Borophosphates,10.1016/j.jssc.2014.11.024,1,D2- 7,done,291512-ICSD,,,,,291512.0,7.0,
47i,Li4P2O7,2,Li8.0P4.0O14.0,<1E-10,,,P -1,2,8.5632,7.1099,5.1858,111.426,89.991,103.055,diphosphate,10.1016/j.jssc.2013.12.015,1,D2 - 8,done,248414-ICSD,,,,,248414.0,8.0,
clt,Li6CuB4O10,1,Li6.0Cu1.0B4.0O10.0,1e-13,,,P -1,2,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143,copper pyroborate,10.1021/acs.inorgchem.8b01785,1,D2 - 10,done,4819-ICSD,,,,,4819.0,10.0,
mdp,Li7P3S11,2,Li14.0P6.0S22.0,0.0032,,,P -1,2,12.5009,6.0316,12.5303,102.845,113.2024,74.467,,10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017,0,,done,,,,,,157654.0,5.0,28.0
ix1,Li0.91Hf2.022(PO4)3,6,Li5.46Hf12.13P18.0O72.0,3.2e-07,,,R-3c,167,8.8306,8.8306,22.027,90.0,90.0,120.0,NASICON,10.1021/cm970078n,0,D2 - 11,done,83501-ICSD,,true formula: Hf2.032 Li0.87 O12 P3;  partial occupancy corrected,,,83501.0,11.0,
ptg,Li7P3S11,2,Li14.0P6.0S22.0,0.0086,,,P -1,2,12.4258,6.0401,12.515,103.076,113.342,74.883,,10.1021/acs.chemmater.6b02163,0,,,,,,,,,12.0,
